,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,0,0.0,-0.0
5,5,0,0,0.0,-0.0
10,10,0,0,0.0,0.0
15,15,0,0,0.0,0.0
20,20,0,0,0.0,0.0
25,25,0,0,0.0,0.0
30,30,0,0,0.0,0.0
35,35,0,2,0.0,1.0
40,40,0,0,0.0,3.0
45,45,0,6,0.0,5.0
50,50,0,9,0.0,5.0
55,55,0,9,0.0,5.0
60,60,0,0,0.0,5.0
65,65,0,0,0.0,4.0
70,70,0,0,0.0,3.0
75,75,0,5,0.0,4.0
80,80,0,12,0.0,5.0
85,85,0,5,0.0,6.0
90,90,0,6,0.0,8.0
95,95,0,11,0.0,9.0
100,100,0,12,0.0,11.0
105,105,0,13,0.0,12.0
110,110,0,12,0.0,12.0
115,115,0,12,0.0,12.0
120,120,0,12,0.0,11.0
125,125,0,10,0.0,11.0
130,130,0,10,0.0,11.0
135,135,0,12,0.0,10.0
140,140,0,8,0.0,10.0
145,145,0,8,0.0,9.0
150,150,0,5,0.0,8.0
155,155,0,8,0.0,8.0
160,160,0,9,0.0,6.0
165,165,0,9,0.0,5.0
170,170,0,1,0.0,4.0
175,175,0,1,0.0,3.0
180,180,0,6,0.0,2.0
185,185,0,3,0.0,4.0
190,190,0,0,0.0,5.0
195,195,0,8,0.0,6.0
200,200,0,9,0.0,7.0
205,205,0,9,0.0,8.0
210,210,0,7,0.0,8.0
215,215,0,12,0.0,7.0
220,220,0,5,0.0,7.0
225,225,0,8,0.0,8.0
230,230,0,9,0.0,7.0
235,235,0,8,0.0,6.0
240,240,0,6,0.0,5.0
245,245,0,6,0.0,6.0
250,250,0,0,0.0,6.0
255,255,0,9,0.0,8.0
260,260,0,13,0.0,10.0
265,265,0,13,0.0,12.0
270,270,0,11,0.0,12.0
275,275,0,12,0.0,11.0
280,280,0,12,0.0,10.0
285,285,0,10,0.0,9.0
290,290,0,9,0.0,9.0
295,295,0,9,0.0,9.0
300,300,0,11,0.0,9.0
305,305,0,9,0.0,10.0
310,310,0,12,0.0,10.0
315,315,0,9,0.0,9.0
320,320,0,9,0.0,9.0
325,325,0,0,0.0,9.0
330,330,0,10,0.0,8.0
335,335,0,12,0.0,7.0
340,340,0,4,0.0,7.0
345,345,0,8,0.0,6.0
350,350,0,0,0.0,6.0
355,355,0,6,0.0,6.0
360,360,0,7,0.0,6.0
365,365,0,0,0.0,7.0
370,370,0,6,0.0,7.0
375,375,0,11,0.0,7.0
380,380,0,0,0.0,8.0
385,385,0,9,0.0,8.0
390,390,0,9,0.0,8.0
395,395,0,9,0.0,9.0
400,400,0,11,0.0,10.0
